latitude,longitude,u10,v10,d2m,t2m,msl,date,event_id,yr,mo,dy,st,mag,inj,fat,slat,slon,elat,elon,len,wid,dist2
30.0,-94.0,-5.048584,1.0009613,270.70444,277.32446,102802.94,1970-01-10,0,1970,1,10,TX,2,0,0,30.17,-94.4,0.0,0.0,1.0,33,0.18890000000000515
30.0,-96.0,0.6641388,6.609329,285.90155,287.19873,100147.625,1970-02-01,1,1970,2,1,TX,0,0,0,29.6,-95.77,0.0,0.0,1.0,20,0.2129000000000007
30.0,-95.0,-3.4706268,5.9677277,285.71014,286.84912,100280.625,1970-02-01,2,1970,2,1,TX,1,0,0,29.73,-95.25,0.0,0.0,1.0,33,0.13539999999999977
30.0,-94.0,-4.6073456,6.703079,285.54022,287.02295,100542.375,1970-02-01,3,1970,2,1,TX,2,2,0,29.8,-94.3,0.0,0.0,0.1,40,0.129999999999998
33.0,-96.0,4.165695,2.254715,288.19995,288.58594,100998.875,1970-03-03,4,1970,3,3,TX,1,0,0,32.98,-95.95,0.0,0.0,0.8,23,0.002899999999999841
33.0,-94.0,-0.31282043,4.1951447,287.9402,288.79492,101171.125,1970-03-03,5,1970,3,3,TX,1,0,0,32.97,-94.2,0.0,0.0,0.3,100,0.040900000000001206
33.0,-95.0,-1.2932892,3.9090118,287.7527,288.4961,101094.875,1970-03-03,6,1970,3,3,TX,2,0,0,33.2,-94.97,0.0,0.0,1.0,27,0.040900000000001206
33.0,-94.0,-0.31282043,4.1951447,287.9402,288.79492,101171.125,1970-03-03,7,1970,3,3,TX,2,0,0,32.85,-94.22,0.0,0.0,0.2,50,0.07089999999999907
32.0,-95.0,-2.1272736,3.8386993,288.8484,289.63477,101111.875,1970-03-03,8,1970,3,3,TX,3,0,0,32.3,-94.98,0.0,0.0,0.5,67,0.09039999999999813
34.0,-103.0,-6.9368134,1.0714569,283.84473,285.02563,101623.81,1970-04-17,9,1970,4,17,TX,4,24,0,33.6,-102.63,33.82,-102.2,30.0,880,0.2969000000000022
