latitude,longitude,u10,v10,d2m,t2m,msl,tcc,tp,e,pev,date,event_id,yr,mo,dy,st,mag,inj,fat,slat,slon,elat,elon,len,wid,dist2
32.75,-98.0,2.7767944,6.1685944,290.17236,294.4187,102007.75,0.99749756,6.2942505e-05,-5.8939215e-05,-9.542913e-05,1986-02-02,4136,1986,2,2,TX,2,2,0,32.65,-97.93,32.73,-97.87,10.0,100,0.01489999999999933
32.5,-102.0,3.1186523,1.8572388,271.76636,282.40796,100964.69,0.014984131,0.0,-4.8209447e-05,-0.00026730564,1986-02-05,4137,1986,2,5,TX,0,0,0,32.55,-102.1,0.0,0.0,0.1,10,0.01249999999999858
33.5,-94.5,-2.1391602,-0.4406128,286.3484,287.90405,101099.44,0.96435547,0.00016736984,-0.00016136887,-0.00015730527,1986-02-05,4138,1986,2,5,TX,0,0,0,33.45,-94.45,0.0,0.0,0.5,30,0.004999999999999432
33.0,-95.5,-0.73583984,-1.7072144,286.8855,288.45483,101068.94,1.0,4.7683716e-07,-0.00015475275,-0.0001460996,1986-02-05,4139,1986,2,5,TX,1,0,0,33.1,-95.6,0.0,0.0,0.5,30,0.01999999999999915
33.25,-95.25,-0.50341797,-1.7745972,286.2683,287.0935,101099.69,0.98968506,0.00028657913,-0.00014524581,-0.000118979486,1986-02-05,4140,1986,2,5,TX,1,0,0,33.15,-95.33,0.0,0.0,0.7,30,0.016400000000000012
33.25,-95.25,-0.50341797,-1.7745972,286.2683,287.0935,101099.69,0.98968506,0.00028657913,-0.00014524581,-0.000118979486,1986-02-05,4141,1986,2,5,TX,1,0,0,33.13,-95.23,0.0,0.0,0.5,30,0.014799999999999227
33.25,-95.25,-0.50341797,-1.7745972,286.2683,287.0935,101099.69,0.98968506,0.00028657913,-0.00014524581,-0.000118979486,1986-02-05,4142,1986,2,5,TX,1,0,0,33.27,-95.22,0.0,0.0,0.5,30,0.0013000000000001934
30.0,-95.5,-2.5454102,1.4089966,289.24683,292.56226,100949.94,0.14224243,0.0,-0.00020839693,-0.0002681699,1986-02-05,4143,1986,2,5,TX,1,0,0,30.08,-95.58,0.0,0.0,1.0,30,0.012799999999999454
33.25,-95.0,-0.79248047,-1.0206909,286.12183,287.42554,101089.44,0.96932983,0.00020360947,-0.00013469579,-0.00013566879,1986-02-05,4144,1986,2,5,TX,1,0,0,33.35,-94.98,0.0,0.0,0.5,30,0.010400000000000126
29.75,-95.75,-3.0288086,1.6062622,289.43237,293.79077,100903.44,0.110443115,0.0,-0.0002119434,-0.00029269722,1986-02-05,4145,1986,2,5,TX,2,5,0,29.83,-95.85,29.87,-95.77,8.0,170,0.01639999999999859
30.0,-95.5,-2.5454102,1.4089966,289.24683,292.56226,100949.94,0.14224243,0.0,-0.00020839693,-0.0002681699,1986-02-05,4146,1986,2,5,TX,2,0,0,30.02,-95.62,0.0,0.0,2.5,70,0.014800000000001074
30.0,-95.5,-2.5454102,1.4089966,289.24683,292.56226,100949.94,0.14224243,0.0,-0.00020839693,-0.0002681699,1986-02-05,4147,1986,2,5,TX,3,0,2,30.03,-95.55,29.98,-95.48,5.0,70,0.0033999999999997843
32.5,-98.75,0.111450195,7.1418304,289.74585,292.27612,100269.44,1.0,0.0024986267,-0.00011404697,-8.1645325e-05,1986-03-11,4148,1986,3,11,TX,0,0,0,32.45,-98.82,0.0,0.0,0.5,30,0.007399999999998761
32.75,-99.0,0.3458252,7.4230804,289.57983,293.5027,100215.69,0.99658203,0.00029850006,-0.00011845771,-0.00011550076,1986-03-11,4149,1986,3,11,TX,0,0,0,32.8,-98.9,0.0,0.0,1.0,30,0.01249999999999858
32.75,-97.75,-3.4422607,3.9142914,289.50757,291.08276,100425.44,1.0,0.0014629364,-9.8490156e-05,-6.260164e-05,1986-03-11,4150,1986,3,11,TX,2,0,0,32.77,-97.87,32.87,-97.8,9.0,40,0.014800000000001215
31.25,-94.0,-1.3542786,2.9084778,286.09204,292.18506,100320.625,0.9145813,0.0,-0.0003636682,-0.00045016874,1986-03-12,4151,1986,3,12,TX,1,0,0,31.25,-93.98,0.0,0.0,1.0,200,0.00039999999999984086
