yr,com_lat,com_lon,count
1950,31.701999999999998,-97.16400000000002,20.0
1951,34.108000000000004,-100.01733333333335,15.0
1952,32.30461538461538,-97.26153846153845,13.0
1953,30.9971875,-97.4771875,32.0
1954,31.91844155844156,-98.19,77.0
1955,32.545192307692304,-99.17596153846154,104.0
1956,31.37214285714285,-98.63410714285715,56.0
1957,32.24855172413793,-98.03075862068965,145.0
1958,32.66527027027027,-98.55810810810813,74.0
1959,31.62976744186046,-98.30546511627908,86.0
1960,32.22077922077922,-98.60961038961038,77.0
1961,32.17,-98.55306451612904,124.0
1962,32.107062937062935,-99.1155944055944,143.0
1963,32.574999999999996,-99.47378048780489,82.0
1964,31.79025974025973,-98.60480519480521,77.0
1965,31.990370370370368,-99.34444444444445,108.0
1966,32.868051948051956,-98.63844155844157,77.0
1967,30.745948275862066,-97.87314655172413,232.0
1968,31.884264705882355,-98.36911764705883,136.0
1969,31.964960629921258,-99.63779527559053,127.0
1970,30.818677685950412,-97.56099173553719,121.0
1971,32.5151832460733,-98.63465968586388,191.0
1972,31.429027777777776,-98.1501388888889,144.0
1973,31.64537414965986,-97.61095238095238,147.0
1974,32.094224137931036,-98.32767241379311,116.0
1975,31.606752136752135,-97.93008547008547,117.0
1976,31.498820224719108,-97.98657303370787,178.0
1977,32.5530081300813,-99.14560975609757,123.0
1978,32.62664233576643,-98.82197080291971,137.0
1979,32.68197452229299,-98.376050955414,157.0
1980,31.720657894736842,-98.56046052631578,152.0
1981,31.901136363636365,-98.21238636363637,176.0
1982,32.8435960591133,-99.15172413793105,203.0
1983,31.103172043010755,-97.34897849462368,186.0
1984,32.185161290322576,-97.62881720430107,93.0
1985,32.569,-99.59566666666667,90.0
1986,32.91159090909091,-99.26265151515153,132.0
1987,33.133571428571436,-99.60015873015873,126.0
1988,31.09752808988764,-98.96258426966293,89.0
1989,32.7181875,-99.77906249999998,160.0
1990,33.113101265822785,-98.53000000000002,158.0
1991,32.0328125,-98.88536458333333,192.0
1992,31.823915343915342,-99.15571428571428,189.0
1993,32.044871794871796,-97.53606837606839,117.0
1994,31.78470588235294,-97.76529411764706,187.0
1995,32.809783549783546,-99.27402597402596,231.0
1996,32.49231884057971,-98.54202898550724,138.0
1997,32.105287958115184,-98.69151832460734,191.0
1998,31.14466666666667,-97.55208333333333,120.0
1999,31.935212121212125,-98.3679393939394,165.0
2000,31.778707482993195,-98.15646258503402,147.0
2001,31.589124087591234,-98.57255474452553,137.0
2002,31.47425287356322,-98.92408045977012,174.0
2003,32.00167741935484,-98.33729032258064,155.0
2004,31.299044943820228,-98.58016853932583,178.0
2005,31.993238095238095,-99.76380952380954,105.0
2006,31.834521739130434,-98.1109565217391,115.0
2007,32.7980303030303,-99.85767676767676,198.0
2008,32.00958333333333,-98.63883333333334,120.0
2009,32.63696356589147,-98.13031782945737,129.0
2010,32.36997196261682,-98.70299813084112,107.0
2011,32.06247843137255,-97.11349215686276,102.0
2012,30.84091826086957,-97.6390052173913,115.0
2013,32.30704166666667,-97.67660833333333,84.0
2014,32.24543913043478,-98.59513695652174,46.0
2015,32.2598489626556,-98.23565394190871,241.0
2016,32.56341,-98.58085599999998,100.0
2017,31.61951856287426,-97.44867305389221,167.0
2018,31.890815094339622,-97.65430754716982,53.0
2019,32.829865269461074,-99.017428742515,167.0
2020,32.24056190476191,-97.60464047619048,84.0
2021,33.0046414893617,-99.02531276595741,94.0
