storm_length,avg_lat,avg_lon
1,30.17,-94.4
1,30.17,-94.4
3,29.709999999999997,-95.10666666666667
5,32.86,-94.864
3,33.99333333333333,-102.41000000000001
6,32.361666666666665,-97.85833333333333
1,32.5,-94.68
7,33.042857142857144,-96.30142857142859
6,31.958333333333332,-99.06333333333333
2,33.675,-101.565
1,33.25,-101.68
7,32.06428571428571,-100.6942857142857
4,29.03,-96.93
1,27.7,-97.67
2,26.9,-99.275
1,26.5,-97.77
1,33.55,-101.92
1,27.3,-97.8
3,34.26,-101.84333333333332
1,26.12,-97.63
1,33.58,-102.33
1,34.2,-101.67
2,32.37,-99.0
1,33.75,-96.5
1,27.57,-97.78
1,27.77,-97.4
1,29.22,-100.53
3,30.103333333333335,-95.56333333333333
1,29.73,-93.98
1,29.4,-95.0
6,28.56333333333333,-97.86333333333334
2,29.675,-95.5
1,29.42,-95.23
1,34.33,-99.9
4,28.595,-97.6225
4,28.25,-97.705
1,31.67,-97.13
1,32.6,-97.32
2,31.385,-96.57499999999999
1,28.63,-96.65
2,27.71,-98.36500000000001
1,29.75,-95.32
2,29.46,-96.245
1,34.13,-98.22
1,29.83,-94.17
5,29.486,-94.872
3,32.24666666666667,-98.79333333333334
5,29.715999999999998,-95.904
4,31.96,-97.3075
2,29.88,-95.33
3,29.546666666666667,-94.40000000000002
7,32.41857142857143,-97.8542857142857
2,30.950000000000003,-97.035
11,29.75909090909091,-97.35090909090908
2,29.455,-95.03999999999999
7,33.471428571428575,-96.00428571428571
1,32.47,-96.82
1,36.35,-102.08
3,30.200000000000003,-97.88333333333333
1,31.42,-97.5
5,34.25,-102.67
5,35.424,-102.412
9,32.36777777777778,-97.37888888888888
2,33.150000000000006,-99.945
4,32.13,-97.18249999999999
5,32.327999999999996,-100.49600000000001
1,31.72,-97.6
6,31.82166666666667,-96.77166666666666
1,29.98,-95.25
3,31.929999999999996,-97.32
1,29.95,-93.95
2,30.87,-103.07
1,31.1,-99.47
1,33.83,-100.28
8,35.815,-101.5675
3,35.52333333333333,-102.26333333333332
7,36.10142857142857,-101.6442857142857
2,35.46,-101.975
2,32.480000000000004,-100.04
1,32.47,-98.68
1,29.35,-94.9
2,29.689999999999998,-95.16
3,31.423333333333332,-99.50666666666667
1,30.1,-93.72
1,29.35,-94.9
1,29.2,-99.6
1,27.42,-99.0
1,33.6,-99.42
1,29.67,-98.45
2,33.225,-96.465
1,29.78,-97.77
1,33.13,-97.02
1,29.83,-95.13
4,31.21,-97.64750000000001
1,29.97,-95.7
1,34.4,-101.72
6,32.68333333333334,-101.31666666666666
4,34.09,-101.86250000000001
1,34.37,-101.77
1,30.9,-94.0
1,29.75,-95.33
1,31.05,-97.47
1,33.7,-101.98
2,29.4,-94.9
2,27.259999999999998,-97.94
1,27.95,-97.93
1,28.77,-98.23
1,31.37,-94.73
1,30.88,-95.62
12,34.74916666666666,-101.83166666666665
2,32.685,-97.24000000000001
2,30.765,-97.16499999999999
1,33.12,-94.13
1,30.07,-96.78
2,31.964999999999996,-97.665
21,32.78904761904761,-96.6947619047619
1,29.53,-95.2
2,34.3,-99.725
1,29.58,-98.32
11,29.54454545454545,-95.80181818181819
1,32.62,-96.37
2,31.925,-97.025
1,32.17,-96.73
1,31.27,-94.83
1,31.92,-95.33
1,33.22,-98.17
3,32.556666666666665,-99.57666666666667
1,36.35,-102.12
5,28.756,-98.014
2,35.375,-100.525
2,30.025,-98.58
1,26.07,-97.42
1,35.05,-100.33
3,28.893333333333334,-99.26666666666667
4,29.040000000000003,-97.14500000000001
3,34.550000000000004,-102.32666666666667
6,34.20166666666666,-101.12166666666667
7,29.602857142857147,-95.08857142857143
4,32.64,-100.555
5,29.512,-97.364
2,31.42,-103.5
4,32.129999999999995,-98.38
1,32.35,-96.12
1,27.65,-97.28
1,34.37,-102.12
1,33.68,-101.98
2,33.68,-101.98
1,36.27,-101.37
1,29.6,-95.17
1,32.33,-101.8
3,34.95333333333333,-102.21
1,31.85,-102.37
2,33.504999999999995,-101.93
3,34.47666666666667,-102.13666666666667
1,32.2,-99.83
2,30.96,-94.96000000000001
1,28.67,-96.58
1,30.17,-94.1
1,30.22,-93.73
1,30.68,-94.98
2,34.224999999999994,-102.42
1,31.95,-106.05
1,29.52,-94.47
1,29.95,-93.97
2,29.270000000000003,-97.075
2,30.225,-97.375
1,34.73,-101.98
3,33.910000000000004,-99.26666666666665
1,33.28,-96.45
2,29.07,-97.19
