Predictor,Unweighted_Coef,Weighted_Coef,Coef_Difference
u10,-0.001342475331711742,-0.0017825707740677912,-0.0004400954423560493
v10,0.007992182167464168,0.41792169726719364,0.40992951509972947
d2m,0.0002485843848463773,-0.2996696205274284,-0.2999182049122748
t2m,-0.0007283222013946896,-0.02539207541943185,-0.02466375321803716
msl,0.0027844876215483024,0.25559387159880737,0.25280938397725905
tcc,0.0032190029750884396,0.13363488620991307,0.13041588323482461
tp,0.005017975695142183,0.18148690201289816,0.176468926317756
len,0.07861423000930806,0.15150797411871225,0.07289374410940419
wid,0.057699784422368484,0.061145331608060294,0.0034455471856918093
yr,-0.02236217192310499,-0.08757890798567597,-0.06521673606257097
mo,0.0025274368737968162,0.05259978254092026,0.050072345667123444
dy,-0.0010775382364341369,-0.12649803484761,-0.12542049661117585
mag,0.022210268749895453,2.916286601090761,2.8940763323408656
slat,0.2634413347200077,7.493178180347088,7.22973684562708
slon,-0.3241595983868224,-8.052015045215263,-7.727855446828441
elat,-0.10024327685550309,-5.593275211854113,-5.49303193499861
elon,-0.10754798691417322,-5.833597862990934,-5.726049876076761
latitude,-0.26064064443361085,-7.195303998048407,-6.934663353614796
longitude,0.33881505179854365,8.792776251999848,8.453961200201304
dist2,0.012393856436769287,0.31679857938533557,0.3044047229485663
