Predictor,Unweighted_OR,Weighted_OR,Pct_Change
mag,1.07176408331729,7.160414697487099,568.0961611742401
elat,1.0727835611545293,3.757160756519763,250.22542221623044
elon,1.037564105898216,3.031135889000506,192.1396250862458
longitude,1.1237912573152369,3.0283087823207273,169.4725343882303
tcc,1.0217560708610895,1.1755992497724126,15.05674233789196
tp,1.0334670483319623,1.1555875921966066,11.816588062652734
v10,1.0161992664487545,1.135549080814712,11.74472549887204
mo,1.0270159262478118,1.1215392168173355,9.203683034873977
msl,1.0013137118480613,1.0777330579254314,7.631908479144639
u10,1.0098886551012338,1.0622950357934307,5.189322647351007
t2m,0.9917534077248292,0.9831417089217193,-0.868330649134443
wid,1.227945896712718,1.1558687980782505,-5.869729181670136
len,1.2476394904834887,1.1343060626436525,-9.083828197512156
d2m,0.9882235163886256,0.8824560104358291,-10.70279184807445
dy,0.9742709256772136,0.8414133805895342,-13.636611910114269
yr,0.9181948212892819,0.7873485514861717,-14.250382028879516
slat,0.946077248233,0.791426643612172,-16.346509221067397
latitude,0.9997256804653508,0.7232739825019991,-27.652755487352227
slon,0.961043438318966,0.44797059141015816,-53.387061026738024
dist2,1.0011662324751083,0.0014842130557255948,-99.85175158654161
